METRICA,VALORE,NOTE
Concorsi analizzati,4232,Conteggio archivio fino al concorso 4232
Media hit/sestina,0.38,Media numeri corretti per concorso
Hit rate >= 2,4.8%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2831,Numero concorsi con esattamente 0 hit
Con 1 hit,1199,Numero concorsi con esattamente 1 hit
Con 2 hit,190,Numero concorsi con esattamente 2 hit
Con 3 hit,11,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2831 | 1: 1199 | 2: 190 | 3: 11 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Media hit ultimi 100,0.43,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4232,Data estrazione: 08/08/2026
Concorso successivo stimato,4233,Sestina proposta: 01 02 06 07 09 18
Sestina proposta (prossimo concorso),01 02 06 07 09 18,Pronostico prodotto con addestramento incrementale
Top6 finestra 50,07 01 33 09 28 43,Numeri piu frequenti nelle ultime 50
Top6 finestra 100,33 06 07 63 01 18,Numeri piu frequenti nelle ultime 100
Top6 finestra 200,07 08 09 18 33 85,Numeri piu frequenti nelle ultime 200
Overlap Top6 (50/100/200),2,Numeri presenti in tutte e tre le top6
Volatilita finestre,9,Dispersione tra top list delle finestre
