METRICA,VALORE,NOTE
Concorsi analizzati,4229,Conteggio archivio fino al concorso 4229
Media hit/sestina,0.38,Media numeri corretti per concorso
Hit rate >= 2,4.7%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2830,Numero concorsi con esattamente 0 hit
Con 1 hit,1198,Numero concorsi con esattamente 1 hit
Con 2 hit,189,Numero concorsi con esattamente 2 hit
Con 3 hit,11,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2830 | 1: 1198 | 2: 189 | 3: 11 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Media hit ultimi 100,0.42,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4229,Data estrazione: 04/08/2026
Concorso successivo stimato,4230,Sestina proposta: 01 06 07 09 18 28
Sestina proposta (prossimo concorso),01 06 07 09 18 28,Pronostico prodotto con addestramento incrementale
Top6 finestra 50,07 28 33 57 01 09,Numeri piu frequenti nelle ultime 50
Top6 finestra 100,06 07 33 63 03 18,Numeri piu frequenti nelle ultime 100
Top6 finestra 200,07 08 09 18 33 85,Numeri piu frequenti nelle ultime 200
Overlap Top6 (50/100/200),2,Numeri presenti in tutte e tre le top6
Volatilita finestre,10,Dispersione tra top list delle finestre
