METRICA,VALORE,NOTE
Concorsi analizzati,4230,Concorsi coperti dal backtest progressivo fino al 4231
Media hit/sestina,0.40,Media numeri corretti per concorso (atteso random 0.40)
Hit rate >= 2,5.0%,Percentuale concorsi con almeno 2 hit
Hit rate >= 3,0.3%,Percentuale concorsi con almeno 3 hit
Con 0 hit,2753,Concorsi con esattamente 0 numeri corretti
Con 1 hit,1266,Concorsi con esattamente 1 numeri corretti
Con 2 hit,198,Concorsi con esattamente 2 numeri corretti
Con 3 hit,13,Concorsi con esattamente 3 numeri corretti
Con 4 hit,0,Concorsi con esattamente 4 numeri corretti
Con 5 hit,0,Concorsi con esattamente 5 numeri corretti
Con 6 hit,0,Concorsi con esattamente 6 numeri corretti
Best streak,6,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2753 | 1: 1266 | 2: 198 | 3: 13 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Media hit ultimi 30,0.30,Media hit sugli ultimi 30 concorsi
Media hit ultimi 90,0.30,Media hit sugli ultimi 90 concorsi
Media hit ultimi 180,0.33,Media hit sugli ultimi 180 concorsi
Ultimo concorso calcolato,4231 · 07/08/2026,Ultimo concorso gia estratto e verificato
Popolarita' sestina proposta,5.50,Scala del pool: 5.50 (piu' rara) - 6.45 (meno rara)
Probabilita' di vincita,1 su 622.614.630,Identica a quella di qualunque altra sestina: l'algoritmo non la modifica
Concorso successivo stimato,4232,Concorso non ancora estratto
Sestina proposta (prossimo concorso),34 41 54 67 76 83,Proposta prodotta senza leakage temporale
