METRICA,VALORE,NOTE
Concorsi analizzati,3628,Concorsi coperti dal backtest progressivo fino al 4228
Media hit/sestina,0.40,Media numeri corretti per concorso (atteso random 0.40)
Hit rate >= 2,4.8%,Percentuale concorsi con almeno 2 hit
Hit rate >= 3,0.3%,Percentuale concorsi con almeno 3 hit
Con 0 hit,2373,Concorsi con esattamente 0 numeri corretti
Con 1 hit,1082,Concorsi con esattamente 1 numeri corretti
Con 2 hit,161,Concorsi con esattamente 2 numeri corretti
Con 3 hit,9,Concorsi con esattamente 3 numeri corretti
Con 4 hit,3,Concorsi con esattamente 4 numeri corretti
Con 5 hit,0,Concorsi con esattamente 5 numeri corretti
Con 6 hit,0,Concorsi con esattamente 6 numeri corretti
Best streak,10,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2373 | 1: 1082 | 2: 161 | 3: 9 | 4: 3 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Media hit ultimi 30,0.17,Media hit sugli ultimi 30 concorsi
Media hit ultimi 90,0.24,Media hit sugli ultimi 90 concorsi
Media hit ultimi 180,0.39,Media hit sugli ultimi 180 concorsi
Ultimo concorso calcolato,4228 · 31/07/2026,Ultimo concorso gia estratto e verificato
Modelli in votazione,2,Mix selezionati sull'ultima finestra di validazione
Seed in votazione,4,Generatori deterministici ammessi al voto
Refit eseguiti,1,Un refit ogni 400 concorsi
Media hit attesa dal random,0.40,"Riferimento: 6 numeri estratti su 90, valore atteso di una selezione uniforme"
Concorso successivo stimato,4229,Concorso non ancora estratto
Sestina proposta (prossimo concorso),12 34 44 50 53 67,Proposta prodotta senza leakage temporale
